app_name,workload_id,spark_master,data_set_size,iterations,clusters,interruption,cur_step,start_time,end_time,duration_sec,min
PageRank,workload_02,yarn,.1GB,10,8,0,1,1970/1/1 0:00,2023/8/1 23:22,378,6.3
PageRank,workload_02,yarn,.1GB,10,8,1,1,1970/1/1 0:00,2023/8/1 23:25,186,3.1
PageRank,workload_02,yarn,.1GB,10,8,1,2,2023/8/1 23:27,2023/8/1 23:30,204,3.4
PageRank,workload_02,yarn,.1GB,10,8,2,1,2023/8/1 23:31,2023/8/1 23:34,192,3.2
PageRank,workload_02,yarn,.1GB,10,8,2,2,2023/8/1 23:36,2023/8/1 23:38,162,2.7
PageRank,workload_02,yarn,.1GB,10,8,2,3,1970/1/1 0:00,2023/8/1 23:42,108,1.8
PageRank,workload_02,yarn,.1GB,10,8,3,1,1970/1/1 0:00,2023/8/1 23:45,144,2.4
PageRank,workload_02,yarn,.1GB,10,8,3,2,2023/8/1 23:47,2023/8/1 23:49,126,2.1
PageRank,workload_02,yarn,.1GB,10,8,3,3,1970/1/1 0:00,2023/8/1 23:53,144,2.4
PageRank,workload_02,yarn,.1GB,10,8,3,4,2023/8/1 23:55,2023/8/1 23:57,66,1.1
PageRank,workload_02,yarn,.1GB,10,8,4,1,2023/8/1 23:57,2023/8/1 23:59,108,1.8
PageRank,workload_02,yarn,.1GB,10,8,4,2,2023/8/2 0:01,2023/8/2 0:02,96,1.6
PageRank,workload_02,yarn,.1GB,10,8,4,3,2023/8/2 0:04,2023/8/2 0:06,96,1.6
PageRank,workload_02,yarn,.1GB,10,8,4,4,1970/1/1 0:00,2023/8/2 0:09,90,1.5
PageRank,workload_02,yarn,.1GB,10,8,4,5,1970/1/1 0:00,2023/8/2 0:13,96,1.6
PageRank,workload_02,yarn,.1GB,10,8,5,1,2023/8/2 0:13,2023/8/2 0:14,72,1.2
PageRank,workload_02,yarn,.1GB,10,8,5,2,1970/1/1 0:00,2023/8/2 0:17,59,
PageRank,workload_02,yarn,.1GB,10,8,5,3,1970/1/1 0:00,2023/8/2 0:20,66,1.1
PageRank,workload_02,yarn,.1GB,10,8,5,4,1970/1/1 0:00,2023/8/2 0:23,66,1.1
PageRank,workload_02,yarn,.1GB,10,8,5,5,2023/8/2 0:25,2023/8/2 0:26,66,1.1
PageRank,workload_02,yarn,.1GB,10,8,5,6,2023/8/2 0:28,2023/8/2 0:32,204,3.4
K-Means,workload_01,yarn,1.5GB,10,8,0,1,2023/8/2 11:25,2023/8/2 11:27,150,2.5
K-Means,workload_01,yarn,1.5GB,10,8,1,1,2023/8/2 11:28,2023/8/2 11:30,114,1.9
K-Means,workload_01,yarn,1.5GB,10,8,1,2,1970/1/1 0:00,2023/8/2 11:33,72,1.2
K-Means,workload_01,yarn,1.5GB,10,8,2,1,1970/1/1 0:00,2023/8/2 11:35,114,1.9
K-Means,workload_01,yarn,1.5GB,10,8,2,2,1970/1/1 0:00,2023/8/2 11:38,78,1.3
K-Means,workload_01,yarn,1.5GB,10,8,2,3,2023/8/2 11:40,2023/8/2 11:41,66,1.1
K-Means,workload_01,yarn,1.5GB,10,8,3,1,1970/1/1 0:00,2023/8/2 11:43,102,1.7
K-Means,workload_01,yarn,1.5GB,10,8,3,2,2023/8/2 11:45,2023/8/2 11:46,72,1.2
K-Means,workload_01,yarn,1.5GB,10,8,3,3,2023/8/2 11:48,2023/8/2 11:49,66,1.1
K-Means,workload_01,yarn,1.5GB,10,8,3,4,1970/1/1 0:00,2023/8/2 11:52,58,
K-Means,workload_01,yarn,1.5GB,10,8,4,1,1970/1/1 0:00,2023/8/2 11:54,108,1.8
K-Means,workload_01,yarn,1.5GB,10,8,4,2,2023/8/2 11:56,2023/8/2 11:57,66,1.1
K-Means,workload_01,yarn,1.5GB,10,8,4,3,2023/8/2 11:59,2023/8/2 12:01,66,1.1
K-Means,workload_01,yarn,1.5GB,10,8,4,4,1970/1/1 0:00,2023/8/2 12:04,66,1.1
K-Means,workload_01,yarn,1.5GB,10,8,4,5,2023/8/2 12:06,2023/8/2 12:07,60,1
K-Means,workload_01,yarn,1.5GB,10,8,5,1,1970/1/1 0:00,2023/8/2 12:08,90,1.5
K-Means,workload_01,yarn,1.5GB,10,8,5,2,1970/1/1 0:00,2023/8/2 12:11,59,
K-Means,workload_01,yarn,1.5GB,10,8,5,3,2023/8/2 12:13,2023/8/2 12:14,66,1.1
K-Means,workload_01,yarn,1.5GB,10,8,5,4,1970/1/1 0:00,2023/8/2 12:18,66,1.1
K-Means,workload_01,yarn,1.5GB,10,8,5,5,2023/8/2 12:20,2023/8/2 12:21,66,1.1
K-Means,workload_01,yarn,1.5GB,10,8,5,6,2023/8/2 12:23,2023/8/2 12:24,72,1.2
